provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id,location_id
36533452,Tiffaney302 Brakus656,,,,2082738427,,8532,28288ca0-bbac-334b-a814-a202b0554d5f,GENERAL PRACTICE,,F,,
99456488,Aleen595 Lueilwitz711,,,,17327185,,8532,852fb761-8e3b-31eb-b266-cca7dada3000,GENERAL PRACTICE,,F,,
590611461,Gustavo235 Armstrong51,,,,723348256,,8507,80419183-60c6-3f56-8b8d-0f93495165e7,GENERAL PRACTICE,,M,,
1508299546,Jules135 Emard19,,,,879750465,,8507,21eb643e-1607-3a17-94f9-963a2a76c515,GENERAL PRACTICE,,M,,
986187491,Jarvis643 Ankunding277,,,,1054286254,,8507,dac4505d-d1ca-39e5-b7f1-5cfc48584053,GENERAL PRACTICE,,M,,
2015448435,Fernande593 Mosciski958,,,,1263731270,,8532,570eccf4-ee90-3806-870b-a560c3874685,GENERAL PRACTICE,,F,,
1227658420,Sid118 Daniel959,,,,1531058475,,8507,1d931ffc-1c77-3a91-8ca6-42aa948166d9,GENERAL PRACTICE,,M,,
1954542910,Daniel959 Ankunding277,,,,1209448102,,8507,dcc41869-d0e7-3bc6-a2c2-d712092b8868,GENERAL PRACTICE,,M,,
292848570,Isaiah615 Waters156,,,,1188704256,,8507,4d29e62e-309c-3485-94e6-a648c163ffc1,GENERAL PRACTICE,,M,,
2084113991,Arlen68 Hettinger594,,,,459612816,,8507,0ebd00e6-b271-31e4-a1a0-600c34e212d8,GENERAL PRACTICE,,M,,
405786195,Raúl937 Armendáriz135,,,,1173618735,,8507,6aaa4382-fe16-3deb-977d-0d02bc020d51,GENERAL PRACTICE,,M,,
420830486,Cuc113 Kutch271,,,,326224619,,8532,e0a66d35-f0ac-3702-9721-dcb3f8254572,GENERAL PRACTICE,,F,,
253247177,Randa356 Ritchie586,,,,968924809,,8532,1a18ecf5-d8c8-3240-9788-3b55418e718f,GENERAL PRACTICE,,F,,
1204772682,Anthony633 Toy286,,,,168337375,,8507,272363a7-b7b6-3fcc-882a-f78aebafcd65,GENERAL PRACTICE,,M,,
1083349321,Tracey100 Champlin946,,,,1334527692,,8532,e013384c-dd1a-3a3a-817e-4e16df029d7d,GENERAL PRACTICE,,F,,
170809104,Marisol435 Carmona375,,,,1890557848,,8532,b55ba340-ed88-3b53-b1e6-96bba9a94fb1,GENERAL PRACTICE,,F,,
2133344809,Chance908 Bednar518,,,,2038675257,,8507,18e97cf1-4335-3e81-a713-f0d88a843a35,GENERAL PRACTICE,,M,,
1143689671,Kim439 Friesen796,,,,562594049,,8507,0961e5a4-e535-3086-99d7-c04c2718aa48,GENERAL PRACTICE,,M,,
2079754264,Chase54 Muller251,,,,738848536,,8507,e9e90dc8-c561-3e8e-98eb-79cc26f08b68,GENERAL PRACTICE,,M,,
788978044,Natisha940 Bradtke547,,,,1133599586,,8532,4b05f1eb-3a4a-3771-80a1-88f0d25fde23,GENERAL PRACTICE,,F,,
1209535709,Rudolf736 Reinger292,,,,1178265261,,8507,cdf821bf-6593-336d-ac7b-2fe27ef7ee3b,GENERAL PRACTICE,,M,,
329421288,Gracia333 Schuster709,,,,273588428,,8532,bea95b34-55d0-3647-95b1-932d5ddac84a,GENERAL PRACTICE,,F,,916457099.0
786516490,Guillermo498 Otero621,,,,1428059526,,8507,b96726db-f3cf-39df-8d0a-f2e0802af926,GENERAL PRACTICE,,M,,
468253553,Sharen57 Weissnat378,,,,339465329,,8532,5b84e84c-aa82-37e9-88fd-ba35a163652f,GENERAL PRACTICE,,F,,
1727459928,Ulysses632 Ziemann98,,,,1744047513,,8507,08c3ad45-ca85-31f6-8b51-84e04d147828,GENERAL PRACTICE,,M,,
944111854,Frederick289 Kiehn525,,,,2023787412,,8507,d58ad4c2-a94b-3913-9b0d-90214df9b7c9,GENERAL PRACTICE,,M,,
153764041,Margene509 Schamberger479,,,,740033158,,8532,4afe96ce-7189-3015-b1c5-4e03fdfaafde,GENERAL PRACTICE,,F,,
1739806440,Daysi106 Reynolds644,,,,1746305415,,8532,012c807f-98f0-3036-abda-a887c3421fb6,GENERAL PRACTICE,,F,,
1364067901,Jean712 Block661,,,,2096813114,,8532,0c017a6c-836b-3b76-8f84-5a606ec1af81,GENERAL PRACTICE,,F,,
1307753067,Mohamed943 Jast432,,,,2032554936,,8507,804f8fb9-d559-3941-b2cc-ec7c01bb404d,GENERAL PRACTICE,,M,,
913232378,Phoebe31 Thiel172,,,,1655422705,,8532,e31c8e30-eefc-3148-95e0-d78871fe6d12,GENERAL PRACTICE,,F,,
470005694,Shasta644 King743,,,,624690267,,8532,32c84469-c903-3e80-afd9-3ce7d019a906,GENERAL PRACTICE,,F,,
765510029,Ariel183 Von197,,,,1478370958,,8507,f539df6e-d0cf-3d9d-88b8-d882cbbc7394,GENERAL PRACTICE,,M,,
643206029,Lynn917 Cassin499,,,,504298577,,8532,2afb0d24-4252-3468-a9bf-66acb7bddde9,GENERAL PRACTICE,,F,,
349461445,Carrol931 Wilderman619,,,,189872888,,8532,d2f19a07-ed7b-3df6-a8e4-28d503e2ca65,GENERAL PRACTICE,,F,,
1592350732,Buck819 Johnson679,,,,1614598951,,8507,44505f4d-0fe6-39f5-84aa-8cd9be06941f,GENERAL PRACTICE,,M,,
1260763542,Isiah14 Nikolaus26,,,,1927356726,,8507,1584ef19-341d-3090-a34a-2d5de5aaf3a7,GENERAL PRACTICE,,M,,
137345498,Alane21 Frami345,,,,1478287252,,8532,32edc846-3e77-3357-bc82-42c456756b4c,GENERAL PRACTICE,,F,,
493052176,Jesus702 Roob72,,,,404324285,,8507,cdc52a9c-e214-3d02-be2a-270aaed9048e,GENERAL PRACTICE,,M,,
433957700,Concepción765 Pérez790,,,,1221141408,,8532,aaf8fb96-5bca-37cf-9b7c-1383c91d408c,GENERAL PRACTICE,,F,,758828495.0
1664130499,Faustino767 Sanford861,,,,753766078,,8507,ea090725-343c-3945-ae28-0491a34fc5a0,GENERAL PRACTICE,,M,,
321108286,Verda448 Bahringer146,,,,1775969277,,8532,489bdb7a-15fe-3cbe-8582-6344e271260b,GENERAL PRACTICE,,F,,
224147197,Sulema841 Ryan260,,,,672903222,,8532,ebf733b7-8ab5-3a12-92e4-a689b8f571f0,GENERAL PRACTICE,,F,,
1542938570,Pablo44 Paucek755,,,,892316928,,8507,e28284fa-4e44-3666-9c85-36d88e32c12a,GENERAL PRACTICE,,M,,
2008026609,Hong136 Schneider199,,,,1162490092,,8532,cd327e3f-d77d-357c-b1ef-63ec9678fa03,GENERAL PRACTICE,,F,,
2078377684,Assunta351 Haley279,,,,103871261,,8532,ae2d3448-220f-3d2b-9153-886aed03dd7d,GENERAL PRACTICE,,F,,
279638141,Zachery872 Pagac496,,,,2132590364,,8507,1e0feb73-2282-3859-b534-f4849e8ab5a5,GENERAL PRACTICE,,M,,
1547247113,Venice604 Rogahn59,,,,294651823,,8532,84326461-857c-3fc1-822e-aa83fcb4a9c9,GENERAL PRACTICE,,F,,
947392079,Alonso270 Hand679,,,,1511031880,,8507,10ac3c96-686d-3312-bdd3-2dcb0e58ff41,GENERAL PRACTICE,,M,,
176969691,Colin861 Witting912,,,,715953219,,8507,dbc78d64-e13b-3da3-96f7-3f1ab57200bf,GENERAL PRACTICE,,M,,
1878279896,Morgan564 Marvin195,,,,2025234246,,8507,d77e3904-03f8-3a92-b152-3cce89545356,GENERAL PRACTICE,,M,,
1477575113,Trinity427 Hartmann983,,,,1850532478,,8532,ef379810-d2ab-31ad-9607-e252d3c74b41,GENERAL PRACTICE,,F,,
34942893,Kurt412 Ferry570,,,,2136834379,,8507,24bf9d66-5a62-35c4-abc3-bb79d3f3f4d3,GENERAL PRACTICE,,M,,
1480846244,Tashina114 Towne435,,,,1647466118,,8532,38ca71fa-e10e-32ab-9690-888c3e9019dd,GENERAL PRACTICE,,F,,
1187152532,Zachery872 Rau926,,,,1867799299,,8507,cdc7719d-63f4-31f1-9377-086baf99d681,GENERAL PRACTICE,,M,,
179204939,Alejandra902 Thompson596,,,,1482169850,,8532,f84da68a-af1e-3415-94cf-92f48882d7bc,GENERAL PRACTICE,,F,,
1843067073,Omer483 Koepp521,,,,13733708,,8507,9a6a0ce7-4a14-3b34-8268-e2531edc882e,GENERAL PRACTICE,,M,,
461648632,Ester635 Méndez913,,,,14055181,,8532,15fafbe2-dc6e-3449-bb03-2b97aaa491d3,GENERAL PRACTICE,,F,,
540946059,Mitchel812 Zieme486,,,,1836295657,,8507,2fc09cb0-6326-3c91-a127-d7865daf6b92,GENERAL PRACTICE,,M,,
112031356,Kimberly627 Trantow673,,,,2094692240,,8532,ec66e127-45b3-31f2-9e62-fffd38741dba,GENERAL PRACTICE,,F,,
1655355292,Heide509 Gusikowski974,,,,926286489,,8532,bd199d93-43c9-39b6-9030-6e821d95eeac,GENERAL PRACTICE,,F,,
884022039,Damian46 Hansen121,,,,119007258,,8507,e981fe02-579d-3080-918c-5acfc37f2b47,GENERAL PRACTICE,,M,,
1644743084,James276 Smitham825,,,,1465320435,,8507,00e939cb-1166-39f3-a3d0-348e12e03223,GENERAL PRACTICE,,M,,
1875794085,Iva908 O'Keefe54,,,,1497765388,,8532,23523617-9d06-3f03-a276-7cb4059250eb,GENERAL PRACTICE,,F,,
204525677,Lezlie553 Koss676,,,,10576535,,8532,71a8a7bb-68ef-3381-b756-12bf0196f265,GENERAL PRACTICE,,F,,
311100130,Gino587 Block661,,,,1093914537,,8507,ee872900-cd81-3a9e-8179-809eb6516d61,GENERAL PRACTICE,,M,,
995901754,Elmo857 Hodkiewicz467,,,,1081416114,,8507,e955240f-6f2f-3a07-86de-afb893457204,GENERAL PRACTICE,,M,,
1745460617,Michel472 Zulauf375,,,,1029666910,,8507,91247377-d771-3d63-8913-84538c74e408,GENERAL PRACTICE,,M,,
1202190585,Carlena776 Feil794,,,,562452072,,8532,2be815d1-bb9f-3a40-95c0-56274f6da1bc,GENERAL PRACTICE,,F,,
1166549506,Warren653 Flatley871,,,,2073519104,,8507,4cb66c5f-9b8b-309e-a26f-44c7c42784b1,GENERAL PRACTICE,,M,,
499761381,Sharron285 Batz141,,,,405038947,,8532,dad08918-e357-3ba6-882a-3d8398f5126f,GENERAL PRACTICE,,F,,
147926098,Deandre599 Hartmann983,,,,1603815718,,8507,0af61aaf-0d32-34b4-ace8-374ac19a02f1,GENERAL PRACTICE,,M,,75261874.0
1102674109,Jesusita936 O'Keefe54,,,,2064539156,,8532,3eb7c1ad-22ce-3ba4-8eca-d3f8d39597f1,GENERAL PRACTICE,,F,,
54077817,King743 Predovic534,,,,1647422686,,8507,209fcd0f-e503-3dec-b1b8-121ce4b6f851,GENERAL PRACTICE,,M,,
1703614309,Johna806 Klein929,,,,1773404366,,8532,65e58739-0ca9-308d-8a1b-2549daec5650,GENERAL PRACTICE,,F,,
314825782,Cari853 Kohler843,,,,1438075504,,8532,92cc1e86-2e25-3114-8c14-ada49cf6bb7b,GENERAL PRACTICE,,F,,
602898576,Logan497 Fisher429,,,,226211003,,8507,07d44e8c-b2c9-3b5b-8657-8ba68d924a1b,GENERAL PRACTICE,,M,,
594213926,Margery365 Rippin620,,,,1825121704,,8532,27e4b2d8-71b2-3576-906b-9a2d8e7bafb9,GENERAL PRACTICE,,F,,
1213029698,Earlene410 Baumbach677,,,,749186124,,8532,ec690bba-1deb-3402-8690-c1abfbdd90c4,GENERAL PRACTICE,,F,,
327016822,Lizette501 Lebsack687,,,,1376294859,,8532,9dd5db5c-527c-3bab-a599-36d62cc71e9d,GENERAL PRACTICE,,F,,
455217914,Waylon572 Lakin515,,,,1721855627,,8507,670cd763-90f9-391f-8cf2-68aedc578328,GENERAL PRACTICE,,M,,
360704803,Danelle47 Ondricka197,,,,604249598,,8532,d5608936-fdff-3a1e-97a1-f8cef559ae01,GENERAL PRACTICE,,F,,
2104226021,Joanna347 Abbott774,,,,2068528399,,8532,33569131-a44f-360e-801c-5107959e5abd,GENERAL PRACTICE,,F,,
1348517963,Miyoko154 Paucek755,,,,767001503,,8532,e3f39844-1d28-393f-97e8-cb7b33c7a798,GENERAL PRACTICE,,F,,
1742299576,Eleni953 Franecki195,,,,2136519775,,8532,71988098-5be9-3f09-ab69-acc4e841d375,GENERAL PRACTICE,,F,,
1863607618,Audra143 Beatty507,,,,2020644917,,8532,aa3d9e11-b5f1-3704-81f2-5fb1503fc2cf,GENERAL PRACTICE,,F,,
637452391,Jon665 Keeling57,,,,363226807,,8507,c5d4d2f2-1d24-3f96-a58d-8681731aabf1,GENERAL PRACTICE,,M,,
1812656601,Lindy582 Corwin846,,,,1364918908,,8532,941b4733-da9b-35a1-9d25-1766df38477f,GENERAL PRACTICE,,F,,
133645951,Dierdre747 Leuschke194,,,,582947879,,8532,72d6f5a1-d31c-36a4-8f11-f952d4864afa,GENERAL PRACTICE,,F,,
696899913,Xuan162 Feest103,,,,861942502,,8532,4025bdca-aea2-3e5b-9cdd-23c903864cc3,GENERAL PRACTICE,,F,,
976457158,Darwin703 O'Hara248,,,,1975439564,,8507,ad759980-7c84-340e-a7ea-4b7db9ff071b,GENERAL PRACTICE,,M,,
873495061,Izetta651 Farrell962,,,,1873041606,,8532,31713ef9-2e3e-3e7b-b939-fea14dcda3b1,GENERAL PRACTICE,,F,,
992690560,Latrina689 White193,,,,624583188,,8532,f1fa4dac-cfa0-36dc-a4c7-af137e4a5829,GENERAL PRACTICE,,F,,
1944544379,Codi873 Bogisich202,,,,757233567,,8532,fc94a753-df00-3826-9716-5aa88bfaff7b,GENERAL PRACTICE,,F,,
186027641,Alex454 Satterfield305,,,,1744609237,,8507,1107e639-4067-3c1e-96ec-34f07bcaf0e0,GENERAL PRACTICE,,M,,981100274.0
2002028778,Mathew182 Howe413,,,,1124004338,,8507,a69e9bea-7ef0-3891-b429-686969ee80b1,GENERAL PRACTICE,,M,,
1542336037,Zackary401 Mohr916,,,,853457920,,8507,48674857-10c9-3bf9-a9d9-0fa5bf74786d,GENERAL PRACTICE,,M,,
1621429272,Saundra460 Kuphal363,,,,887821055,,8532,1308233f-f248-3f1c-b4da-bafb2cb8b22a,GENERAL PRACTICE,,F,,
1447198849,Quentin28 Kertzmann286,,,,1709292491,,8507,2563048f-737d-3b7e-ae8e-a7bf8b84055d,GENERAL PRACTICE,,M,,
940764637,Dale454 Wilderman619,,,,151658591,,8507,7cc8fcf2-4c40-3e3e-b5b1-d06077644c0e,GENERAL PRACTICE,,M,,
1466309242,Latrice352 Ferry570,,,,660816530,,8532,556e476a-63cc-39b6-95f7-18840606f10c,GENERAL PRACTICE,,F,,
